Shipment ID,Order ID,Sender ID,Receiver ID,Sender Location,Receiver Location,Courier Service,Delivery Hub,Shipment Weight (kg),Distance (km),Estimated Delivery (days),Actual Delivery (days),Shipment Status,Current Location,Shipping Cost,Payment Status,Tracking Number,Customer Rating,Review Comments
SHIP382210,ORD478904,SND1616,RCV8472,Chennai,Chennai,India Post,Chennai Hub,12.51,1838.31,8,10,Lost,Delhi,691.91,Failed,TRK617539,,
SHIP422491,ORD105885,SND8259,RCV8073,Bangalore,Pune,Blue Dart,Kolkata Hub,10.98,1782.43,2,2,Returned,Pune,936.7,Paid,TRK580433,,
SHIP940447,ORD435370,SND7852,RCV5427,Hyderabad,Pune,Blue Dart,Mumbai Hub,11.17,47.04,5,5,Returned,Mumbai,398.41,Paid,TRK831414,,
SHIP117187,ORD427301,SND8449,RCV1491,Hyderabad,Chennai,Blue Dart,Kolkata Hub,10.92,1082.27,5,7,Delivered,Chennai,958.51,Failed,TRK942388,4.8,Great experience
SHIP403388,ORD903893,SND5772,RCV1525,Ahmedabad,Mumbai,DTDC,Mumbai Hub,6.17,1817.64,6,5,In Transit,Kolkata,381.78,Paid,TRK683049,,
SHIP447600,ORD646243,SND1111,RCV2900,Chennai,Chennai,DTDC,Bangalore Hub,17.12,1069.52,2,0,Out for Delivery,Mumbai,1522.98,Failed,TRK680507,,
SHIP756927,ORD729361,SND8922,RCV5166,Delhi,Mumbai,DHL,Bangalore Hub,5.13,1669.25,9,11,Delayed,Kolkata,1084.69,Failed,TRK700877,,
SHIP684972,ORD732417,SND7767,RCV8840,Hyderabad,Kolkata,India Post,Chennai Hub,15.71,693.53,6,7,Delivered,Kolkata,630.23,Pending,TRK198198,3.4,Fast delivery!
SHIP193990,ORD795718,SND9522,RCV8440,Pune,Chennai,Amazon Logistics,Chennai Hub,10.75,812.77,10,12,Lost,Mumbai,1842.71,Failed,TRK254771,,
SHIP776057,ORD147594,SND8564,RCV5235,Pune,Kolkata,UPS,Hyderabad Hub,16.22,877.9,2,5,Lost,Delhi,632.38,Paid,TRK238686,,
SHIP314050,ORD259128,SND6298,RCV3613,Kolkata,Pune,UPS,Delhi Hub,5.79,1771,10,8,In Transit,Ahmedabad,625.62,Paid,TRK638407,,
SHIP305759,ORD954104,SND1272,RCV1006,Hyderabad,Kolkata,DHL,Hyderabad Hub,10.41,1110.36,7,6,Lost,Hyderabad,933.45,Failed,TRK782827,,
SHIP627764,ORD973803,SND5506,RCV8454,Kolkata,Bangalore,Amazon Logistics,Mumbai Hub,11.2,1200.59,10,11,Returned,Kolkata,729.43,Failed,TRK147373,,
SHIP450076,ORD988630,SND6669,RCV8677,Mumbai,Mumbai,FedEx,Chennai Hub,3.99,1496.77,6,9,Delayed,Delhi,1970.17,Failed,TRK718925,,
SHIP164696,ORD340725,SND7193,RCV3139,Pune,Delhi,FedEx,Hyderabad Hub,16.45,533.5,8,8,Delayed,Bangalore,1406.03,Pending,TRK527898,,
SHIP336910,ORD597441,SND1072,RCV9829,Pune,Hyderabad,UPS,Bangalore Hub,16.71,864.1,2,3,Lost,Kolkata,1839.88,Paid,TRK560144,,
SHIP216327,ORD394263,SND2379,RCV1302,Bangalore,Pune,DTDC,Mumbai Hub,7.66,489.1,5,4,In Transit,Ahmedabad,1011.16,Failed,TRK525104,,
SHIP850931,ORD656729,SND2896,RCV3533,Ahmedabad,Ahmedabad,DHL,Delhi Hub,18.23,1178.4,5,4,Delayed,Hyderabad,143.76,Pending,TRK229423,,
SHIP498238,ORD999028,SND7818,RCV7774,Chennai,Mumbai,DTDC,Delhi Hub,9.15,1818.18,9,11,Out for Delivery,Pune,1749.08,Paid,TRK228142,,
SHIP356007,ORD165466,SND4066,RCV1020,Kolkata,Ahmedabad,UPS,Mumbai Hub,18.21,632.41,9,10,Delayed,Kolkata,1669.7,Pending,TRK218115,,
SHIP210177,ORD616344,SND7808,RCV9853,Mumbai,Mumbai,UPS,Kolkata Hub,3.33,1583.11,7,8,Out for Delivery,Pune,693.8,Failed,TRK752268,,
SHIP468016,ORD146931,SND4530,RCV1276,Mumbai,Hyderabad,FedEx,Delhi Hub,2.48,354.41,7,8,Out for Delivery,Kolkata,628.08,Failed,TRK391207,,
SHIP512728,ORD298782,SND8856,RCV3791,Pune,Delhi,India Post,Bangalore Hub,11.07,1378.74,4,4,Lost,Kolkata,598.89,Failed,TRK569488,,
SHIP307764,ORD972142,SND1741,RCV7633,Hyderabad,Mumbai,UPS,Hyderabad Hub,15.61,465.1,3,5,Delayed,Chennai,778.09,Pending,TRK186613,,
SHIP425030,ORD154782,SND2197,RCV5891,Delhi,Pune,Blue Dart,Delhi Hub,18.9,10.13,8,8,In Transit,Delhi,1390.74,Failed,TRK879567,,
SHIP798817,ORD419444,SND3190,RCV8013,Delhi,Chennai,DTDC,Kolkata Hub,17.35,1351.92,8,8,Delivered,Chennai,1502.27,Failed,TRK708587,4,
SHIP421684,ORD466174,SND2583,RCV5243,Hyderabad,Ahmedabad,Blue Dart,Chennai Hub,3.73,1747.81,7,8,Lost,Delhi,606.29,Pending,TRK426978,,
SHIP429951,ORD624959,SND5200,RCV1809,Chennai,Delhi,Blue Dart,Delhi Hub,13.83,257.56,7,10,Out for Delivery,Chennai,1172.97,Paid,TRK222470,,
SHIP953593,ORD730541,SND6425,RCV3871,Pune,Delhi,Blue Dart,Hyderabad Hub,1.79,1629.44,2,0,Returned,Chennai,145.71,Paid,TRK215489,,
SHIP829206,ORD711670,SND7307,RCV7857,Delhi,Delhi,Amazon Logistics,Chennai Hub,13.9,724.85,7,6,In Transit,Kolkata,72.12,Failed,TRK607474,,
SHIP788630,ORD624561,SND8606,RCV6407,Chennai,Chennai,DTDC,Delhi Hub,6.03,1139.3,10,10,Delayed,Bangalore,661.37,Pending,TRK153017,,
SHIP355842,ORD552585,SND1190,RCV9531,Chennai,Hyderabad,DTDC,Hyderabad Hub,16.59,1019.33,4,7,Lost,Delhi,1939.7,Pending,TRK335724,,
SHIP162584,ORD320278,SND7310,RCV8740,Delhi,Mumbai,DTDC,Chennai Hub,8.17,1706.57,2,2,Delivered,Mumbai,1093.67,Pending,TRK134113,4,Great experience
SHIP539862,ORD449765,SND4738,RCV3504,Ahmedabad,Bangalore,Blue Dart,Hyderabad Hub,10.29,411.49,10,10,Out for Delivery,Kolkata,119.47,Paid,TRK623766,,
SHIP748363,ORD355726,SND1490,RCV6427,Chennai,Kolkata,India Post,Delhi Hub,16.83,1593.54,5,4,Delivered,Kolkata,932.15,Pending,TRK933608,2.8,Late delivery
SHIP596907,ORD317194,SND5768,RCV5179,Mumbai,Ahmedabad,India Post,Hyderabad Hub,11.57,168.83,3,4,Lost,Bangalore,1848.14,Pending,TRK972635,,
SHIP154385,ORD306359,SND1713,RCV5235,Pune,Bangalore,FedEx,Kolkata Hub,14.94,1807.63,6,4,Returned,Pune,1811.84,Paid,TRK803000,,
SHIP427260,ORD822375,SND2811,RCV2139,Hyderabad,Hyderabad,DHL,Delhi Hub,11.1,148.56,4,4,Lost,Ahmedabad,1630.22,Paid,TRK595342,,
SHIP336760,ORD820213,SND5116,RCV1212,Bangalore,Pune,UPS,Bangalore Hub,17.28,1642.17,1,-1,Lost,Hyderabad,293.99,Failed,TRK979018,,
SHIP207059,ORD247842,SND9823,RCV8271,Hyderabad,Pune,India Post,Chennai Hub,9.98,1891.95,2,3,Returned,Chennai,1226.14,Paid,TRK827730,,
SHIP820549,ORD644022,SND5786,RCV6292,Chennai,Kolkata,India Post,Delhi Hub,6.58,300.61,3,4,Out for Delivery,Pune,1095.48,Paid,TRK250858,,
SHIP136692,ORD166954,SND6079,RCV9983,Hyderabad,Delhi,UPS,Chennai Hub,10.29,1208.43,6,5,Delivered,Delhi,199.95,Paid,TRK175996,1.4,Fast delivery!
SHIP753522,ORD651315,SND4071,RCV3792,Delhi,Bangalore,Blue Dart,Bangalore Hub,6.78,1838.03,3,5,Delivered,Bangalore,924.46,Paid,TRK196131,4.5,Great experience
SHIP389840,ORD258879,SND9294,RCV7088,Kolkata,Kolkata,DHL,Kolkata Hub,13.73,1691.8,8,11,Delivered,Kolkata,372.37,Paid,TRK508341,4.6,Great experience
SHIP741796,ORD724016,SND9278,RCV7540,Mumbai,Chennai,UPS,Hyderabad Hub,6.1,601.99,10,13,Delayed,Bangalore,1511.76,Failed,TRK265120,,
SHIP823104,ORD101249,SND8768,RCV7002,Hyderabad,Kolkata,DTDC,Chennai Hub,3.56,371.94,10,8,Lost,Mumbai,1518.41,Pending,TRK586594,,
SHIP806558,ORD616151,SND2072,RCV9672,Kolkata,Delhi,DTDC,Kolkata Hub,3.18,1159.67,7,5,Delayed,Kolkata,1341.36,Paid,TRK174320,,
SHIP695442,ORD542670,SND5968,RCV7115,Ahmedabad,Ahmedabad,Amazon Logistics,Chennai Hub,18.63,60.26,2,4,Delivered,Ahmedabad,1158.44,Paid,TRK633336,1.2,Fast delivery!
SHIP752747,ORD952983,SND1428,RCV3747,Bangalore,Delhi,Blue Dart,Chennai Hub,13.95,1721.79,9,7,In Transit,Delhi,452.2,Failed,TRK355426,,
SHIP274760,ORD768792,SND7468,RCV1818,Hyderabad,Mumbai,DTDC,Hyderabad Hub,7.86,71.03,3,4,Lost,Chennai,993.29,Pending,TRK702076,,
SHIP262524,ORD254866,SND8755,RCV5256,Ahmedabad,Bangalore,Blue Dart,Bangalore Hub,3.55,1931.19,4,7,Delivered,Bangalore,1268.01,Pending,TRK360942,2.7,Fast delivery!
SHIP955455,ORD499935,SND9792,RCV7273,Chennai,Mumbai,Amazon Logistics,Bangalore Hub,14.51,747.41,2,0,Delayed,Chennai,934.59,Failed,TRK779196,,
SHIP920482,ORD319320,SND9277,RCV6427,Kolkata,Bangalore,India Post,Hyderabad Hub,7.97,1787.15,3,2,In Transit,Mumbai,125.14,Paid,TRK212685,,
SHIP681659,ORD457632,SND1671,RCV7924,Ahmedabad,Mumbai,Blue Dart,Hyderabad Hub,5.73,1585.66,7,10,In Transit,Kolkata,1153.64,Pending,TRK332856,,
SHIP801337,ORD416124,SND2660,RCV6218,Delhi,Ahmedabad,Blue Dart,Mumbai Hub,0.78,1066.24,8,8,Delivered,Ahmedabad,1930.69,Failed,TRK322793,4.2,Fast delivery!
SHIP782913,ORD543191,SND5703,RCV2081,Delhi,Ahmedabad,UPS,Mumbai Hub,1.51,398.32,2,0,In Transit,Hyderabad,1321.03,Paid,TRK439297,,
SHIP563083,ORD121636,SND2577,RCV5592,Delhi,Chennai,India Post,Bangalore Hub,19.19,1500.81,9,11,In Transit,Hyderabad,940.15,Pending,TRK539707,,
SHIP502620,ORD163669,SND5083,RCV4084,Mumbai,Bangalore,UPS,Delhi Hub,14.99,103.05,2,5,Delayed,Bangalore,1700.8,Failed,TRK796158,,
SHIP439828,ORD257206,SND9841,RCV4100,Pune,Bangalore,DHL,Delhi Hub,16.11,666.94,7,6,Returned,Bangalore,1996.3,Failed,TRK685519,,
SHIP775829,ORD558437,SND2468,RCV7993,Delhi,Pune,UPS,Delhi Hub,10.84,477.29,8,7,Out for Delivery,Delhi,287.76,Paid,TRK141826,,
SHIP253730,ORD361631,SND6780,RCV2364,Hyderabad,Chennai,DTDC,Kolkata Hub,17.86,1364.71,3,1,In Transit,Chennai,1272.98,Pending,TRK494813,,
SHIP773427,ORD969120,SND1332,RCV9075,Ahmedabad,Bangalore,India Post,Hyderabad Hub,9.41,1949.92,3,5,Returned,Chennai,1498.09,Failed,TRK657848,,
SHIP483164,ORD422448,SND2401,RCV7700,Bangalore,Chennai,Amazon Logistics,Hyderabad Hub,18.69,188.46,3,6,Delivered,Chennai,740.99,Pending,TRK452613,2.7,Package damaged
SHIP473761,ORD955352,SND7030,RCV6357,Kolkata,Mumbai,Blue Dart,Bangalore Hub,11.29,1401.15,2,5,Lost,Kolkata,1847.72,Paid,TRK242109,,
SHIP827543,ORD251769,SND4631,RCV7864,Hyderabad,Hyderabad,India Post,Kolkata Hub,2.61,614.02,5,5,Delayed,Bangalore,582.23,Pending,TRK431318,,
SHIP380130,ORD436401,SND3721,RCV3185,Chennai,Mumbai,DTDC,Mumbai Hub,18.38,422.14,7,7,Delayed,Hyderabad,791.77,Failed,TRK150827,,
SHIP702582,ORD153033,SND4727,RCV6216,Bangalore,Kolkata,DHL,Hyderabad Hub,16.59,1854.98,4,2,Delivered,Kolkata,1405.43,Paid,TRK762377,4.4,On-time service
SHIP678849,ORD522855,SND4615,RCV6308,Kolkata,Mumbai,DTDC,Hyderabad Hub,10.74,1600.82,7,6,Delayed,Mumbai,609.29,Failed,TRK827552,,
SHIP480244,ORD465664,SND9126,RCV7024,Pune,Mumbai,DTDC,Hyderabad Hub,5.77,274.2,5,7,In Transit,Bangalore,744.94,Paid,TRK544850,,
SHIP301554,ORD466085,SND6210,RCV4577,Bangalore,Pune,DTDC,Bangalore Hub,19.42,126.43,2,4,Returned,Kolkata,230.41,Paid,TRK594673,,
SHIP174431,ORD380627,SND3068,RCV8366,Bangalore,Delhi,DHL,Bangalore Hub,9.64,1490.14,6,4,Delayed,Mumbai,313.11,Failed,TRK811972,,
SHIP539187,ORD996855,SND6239,RCV5669,Ahmedabad,Delhi,Amazon Logistics,Mumbai Hub,12.03,1609.68,8,7,Delayed,Hyderabad,1790.54,Paid,TRK984382,,
SHIP554965,ORD420292,SND3742,RCV6549,Ahmedabad,Hyderabad,India Post,Chennai Hub,6.59,399.84,5,8,In Transit,Delhi,934.17,Pending,TRK212129,,
SHIP698829,ORD359719,SND4093,RCV6844,Chennai,Delhi,Amazon Logistics,Hyderabad Hub,19.45,239.82,8,11,Lost,Hyderabad,1697.59,Paid,TRK882913,,
SHIP671721,ORD244222,SND9575,RCV5811,Chennai,Hyderabad,FedEx,Kolkata Hub,5.26,489.12,1,2,Delayed,Delhi,470.83,Paid,TRK980567,,
SHIP164301,ORD576247,SND7214,RCV3832,Ahmedabad,Bangalore,UPS,Hyderabad Hub,1.23,1569.44,5,8,Delayed,Delhi,706.29,Pending,TRK728642,,
SHIP248389,ORD944618,SND4339,RCV8267,Hyderabad,Hyderabad,Amazon Logistics,Hyderabad Hub,3.68,758.44,8,6,In Transit,Bangalore,414.92,Failed,TRK983432,,
SHIP822824,ORD896813,SND2055,RCV3451,Mumbai,Bangalore,DTDC,Bangalore Hub,12.27,1314.53,3,2,Returned,Mumbai,699.72,Paid,TRK148032,,
SHIP711633,ORD610050,SND9616,RCV6977,Mumbai,Chennai,DHL,Chennai Hub,8.62,1353.22,5,3,Delivered,Chennai,1148.31,Paid,TRK824311,2.7,On-time service
SHIP323339,ORD305370,SND7893,RCV3774,Mumbai,Bangalore,Blue Dart,Hyderabad Hub,7.51,787.72,8,7,In Transit,Delhi,859.85,Paid,TRK301731,,
SHIP892150,ORD228063,SND3328,RCV9262,Pune,Mumbai,Amazon Logistics,Bangalore Hub,13,1460.74,2,3,Delivered,Mumbai,1052.15,Failed,TRK854618,4.8,Late delivery
SHIP721993,ORD586205,SND1622,RCV6116,Bangalore,Hyderabad,UPS,Chennai Hub,10.36,138.76,1,4,In Transit,Kolkata,1018.49,Pending,TRK415900,,
SHIP894720,ORD518000,SND9357,RCV3496,Ahmedabad,Bangalore,UPS,Mumbai Hub,15.09,978.47,4,3,Out for Delivery,Pune,816.99,Failed,TRK785148,,
SHIP705582,ORD490613,SND5835,RCV4835,Mumbai,Pune,India Post,Kolkata Hub,16.24,193.3,10,9,Delivered,Pune,1015.69,Failed,TRK656587,1.8,Fast delivery!
SHIP891322,ORD974573,SND5049,RCV7158,Bangalore,Delhi,FedEx,Delhi Hub,2.65,1151.17,2,2,In Transit,Delhi,1824.35,Failed,TRK724186,,
SHIP642658,ORD418534,SND5909,RCV1868,Pune,Pune,DHL,Mumbai Hub,7.88,785.74,7,8,Returned,Delhi,888.65,Pending,TRK565144,,
SHIP199866,ORD209097,SND9201,RCV2157,Ahmedabad,Bangalore,Blue Dart,Hyderabad Hub,3.46,477.4,10,13,Returned,Pune,52.19,Paid,TRK286421,,
SHIP459642,ORD868734,SND1992,RCV9774,Chennai,Delhi,DTDC,Delhi Hub,13.43,1125.78,5,8,Returned,Mumbai,553.89,Pending,TRK408151,,
SHIP418637,ORD413112,SND2776,RCV7107,Pune,Kolkata,Blue Dart,Delhi Hub,5.06,279.38,5,4,Out for Delivery,Kolkata,1125.2,Pending,TRK861423,,
SHIP384577,ORD664506,SND9579,RCV2045,Chennai,Kolkata,Amazon Logistics,Bangalore Hub,19.56,1237.75,7,5,In Transit,Mumbai,913.79,Failed,TRK519646,,
SHIP220567,ORD106079,SND3536,RCV8927,Pune,Hyderabad,Amazon Logistics,Hyderabad Hub,19.68,451.9,5,5,Lost,Bangalore,1070.83,Pending,TRK348551,,
SHIP120677,ORD918459,SND2752,RCV4818,Ahmedabad,Chennai,UPS,Delhi Hub,10.63,1470.62,9,12,Out for Delivery,Mumbai,1498.53,Failed,TRK384258,,
SHIP832066,ORD503528,SND2389,RCV6574,Mumbai,Kolkata,DTDC,Mumbai Hub,18.32,147.18,8,7,Lost,Hyderabad,104.58,Paid,TRK324320,,
SHIP179834,ORD317148,SND7699,RCV7953,Chennai,Mumbai,DTDC,Hyderabad Hub,8.05,261.66,6,6,Delayed,Bangalore,648.49,Paid,TRK870085,,
SHIP132649,ORD799387,SND3258,RCV1457,Delhi,Pune,Blue Dart,Hyderabad Hub,12.04,680.93,2,1,In Transit,Chennai,1587.74,Failed,TRK307807,,
SHIP133004,ORD238497,SND8062,RCV6771,Delhi,Kolkata,FedEx,Bangalore Hub,3.18,1613.5,6,5,Delayed,Mumbai,139,Failed,TRK955091,,
SHIP733325,ORD441265,SND9579,RCV6400,Chennai,Delhi,India Post,Delhi Hub,19.92,968.72,5,5,Returned,Kolkata,752.34,Failed,TRK766177,,
SHIP137835,ORD666420,SND4918,RCV5048,Bangalore,Ahmedabad,India Post,Delhi Hub,4.42,1602.08,8,8,Delivered,Ahmedabad,250.55,Pending,TRK338487,1.9,Fast delivery!
SHIP625684,ORD892527,SND7318,RCV1418,Pune,Ahmedabad,Amazon Logistics,Bangalore Hub,6.34,1040.98,3,6,Lost,Pune,398.05,Pending,TRK546027,,
SHIP218909,ORD148616,SND1592,RCV7160,Ahmedabad,Chennai,DTDC,Chennai Hub,10.34,1072.84,2,3,Out for Delivery,Bangalore,1579.84,Paid,TRK374456,,
SHIP122464,ORD133493,SND5603,RCV3375,Hyderabad,Hyderabad,Amazon Logistics,Chennai Hub,10.07,914.83,8,7,Lost,Hyderabad,407.87,Pending,TRK228087,,
SHIP223419,ORD331720,SND9182,RCV2003,Mumbai,Chennai,UPS,Delhi Hub,0.82,1675.8,3,3,Out for Delivery,Chennai,979.27,Failed,TRK769398,,
SHIP121467,ORD495552,SND4941,RCV5427,Chennai,Chennai,Blue Dart,Chennai Hub,3.33,893.18,5,7,In Transit,Mumbai,63.9,Failed,TRK597841,,
SHIP684658,ORD968354,SND9808,RCV7647,Kolkata,Kolkata,DHL,Hyderabad Hub,18.22,1763.97,7,7,In Transit,Kolkata,1919.54,Pending,TRK659209,,
SHIP385363,ORD806265,SND2294,RCV2042,Mumbai,Kolkata,DHL,Chennai Hub,13.34,421.83,4,2,Lost,Ahmedabad,59.91,Paid,TRK929036,,
SHIP266035,ORD846533,SND2981,RCV3308,Bangalore,Ahmedabad,India Post,Chennai Hub,11.87,387.63,6,4,Lost,Chennai,643.21,Failed,TRK870560,,
SHIP280451,ORD839234,SND4671,RCV6683,Delhi,Ahmedabad,India Post,Bangalore Hub,9.14,375.88,5,6,Lost,Pune,970.89,Failed,TRK229420,,
SHIP308011,ORD527584,SND4475,RCV1098,Hyderabad,Pune,Amazon Logistics,Delhi Hub,15.43,923.96,1,0,Out for Delivery,Hyderabad,1165.97,Paid,TRK656051,,
SHIP802922,ORD462680,SND2148,RCV7434,Pune,Kolkata,Amazon Logistics,Delhi Hub,5.87,1960.73,1,0,Returned,Bangalore,191.75,Paid,TRK710651,,
SHIP950550,ORD166852,SND6356,RCV7976,Ahmedabad,Hyderabad,India Post,Delhi Hub,4.52,1440.73,10,11,Out for Delivery,Delhi,1798.78,Paid,TRK793994,,
SHIP318783,ORD901550,SND3188,RCV4237,Ahmedabad,Ahmedabad,FedEx,Chennai Hub,19.01,377.97,10,11,Delivered,Ahmedabad,99.9,Paid,TRK328705,2.1,Great experience
SHIP623090,ORD289622,SND2126,RCV3513,Delhi,Pune,Blue Dart,Hyderabad Hub,2.51,856.59,9,8,Lost,Pune,1891.96,Paid,TRK191573,,
SHIP169368,ORD259253,SND1025,RCV3832,Pune,Hyderabad,Amazon Logistics,Mumbai Hub,19.17,918.11,7,5,Lost,Ahmedabad,1686.12,Failed,TRK592329,,
SHIP829586,ORD235582,SND4658,RCV5386,Pune,Ahmedabad,UPS,Kolkata Hub,19.83,752.39,7,6,Delayed,Pune,1009.07,Failed,TRK361878,,
SHIP147356,ORD167638,SND3062,RCV7610,Chennai,Pune,FedEx,Mumbai Hub,9.7,340.31,7,7,Out for Delivery,Hyderabad,621.04,Paid,TRK469306,,
SHIP288455,ORD633971,SND6307,RCV2646,Kolkata,Bangalore,India Post,Chennai Hub,0.86,1589.74,3,2,Delayed,Hyderabad,781.12,Pending,TRK804728,,
SHIP229569,ORD857585,SND9957,RCV4794,Mumbai,Hyderabad,Amazon Logistics,Mumbai Hub,15.26,1523.82,6,9,Out for Delivery,Delhi,962.52,Failed,TRK364296,,
SHIP679602,ORD826552,SND8291,RCV5381,Bangalore,Kolkata,India Post,Delhi Hub,16.84,1950.31,10,8,In Transit,Ahmedabad,974.89,Paid,TRK625796,,
SHIP525916,ORD995366,SND7149,RCV6493,Kolkata,Kolkata,DHL,Bangalore Hub,16.65,111.94,8,7,Delayed,Bangalore,1801.98,Pending,TRK442513,,
SHIP981030,ORD593015,SND6782,RCV2318,Mumbai,Kolkata,DHL,Delhi Hub,6.22,1135.7,10,11,Returned,Bangalore,1966.68,Pending,TRK462959,,
SHIP848147,ORD502720,SND1020,RCV9000,Pune,Mumbai,FedEx,Hyderabad Hub,4.65,1854.97,3,5,Lost,Kolkata,1310.21,Failed,TRK214107,,
SHIP949244,ORD825811,SND7430,RCV5482,Hyderabad,Ahmedabad,DHL,Kolkata Hub,13.47,457.72,9,7,Delivered,Ahmedabad,1302.7,Pending,TRK543600,2.4,
SHIP636154,ORD675099,SND5289,RCV2739,Chennai,Ahmedabad,Amazon Logistics,Mumbai Hub,17.86,1085.33,3,5,Delivered,Ahmedabad,1184.65,Pending,TRK217676,1.4,Great experience
SHIP356633,ORD345426,SND8673,RCV1294,Ahmedabad,Ahmedabad,Amazon Logistics,Delhi Hub,1.38,685.42,6,4,Lost,Hyderabad,376.99,Failed,TRK484422,,
SHIP786028,ORD364222,SND4916,RCV8581,Ahmedabad,Delhi,DTDC,Chennai Hub,12.11,1591.09,4,5,Returned,Pune,1871.42,Pending,TRK657743,,
SHIP555787,ORD503660,SND8174,RCV8757,Delhi,Hyderabad,Amazon Logistics,Chennai Hub,19.59,895.43,5,3,Delayed,Pune,528.39,Paid,TRK228416,,
SHIP291959,ORD953179,SND3063,RCV9820,Hyderabad,Bangalore,India Post,Hyderabad Hub,12.89,1444.51,8,9,Delayed,Kolkata,270.4,Paid,TRK366040,,
SHIP862469,ORD746841,SND6244,RCV1392,Delhi,Pune,Blue Dart,Hyderabad Hub,17.77,1443.28,7,10,Lost,Chennai,1188.69,Paid,TRK530187,,
SHIP342452,ORD704711,SND6838,RCV6650,Mumbai,Delhi,DHL,Bangalore Hub,19.81,1182.38,10,10,Returned,Bangalore,869.54,Paid,TRK934530,,
SHIP457475,ORD187838,SND1826,RCV2809,Bangalore,Ahmedabad,Blue Dart,Bangalore Hub,6.98,1461.75,2,4,In Transit,Chennai,1325.56,Paid,TRK703979,,
SHIP356867,ORD842361,SND1983,RCV3857,Mumbai,Chennai,DHL,Chennai Hub,12.19,30.33,1,3,Delivered,Chennai,1631.51,Paid,TRK388519,1.9,Great experience
SHIP663544,ORD397016,SND3743,RCV4714,Hyderabad,Chennai,Blue Dart,Hyderabad Hub,13.61,416.51,1,3,Returned,Chennai,962.64,Pending,TRK474028,,
SHIP745413,ORD109137,SND9676,RCV3261,Pune,Chennai,DTDC,Mumbai Hub,8.28,1729.37,10,11,Out for Delivery,Delhi,1500.86,Pending,TRK198809,,
SHIP392932,ORD884367,SND3042,RCV6127,Ahmedabad,Mumbai,DHL,Hyderabad Hub,2.77,1699.26,3,3,Delivered,Mumbai,1513.77,Paid,TRK446266,1.1,Fast delivery!
SHIP737675,ORD897525,SND9840,RCV9261,Bangalore,Pune,FedEx,Bangalore Hub,11.6,313.92,3,6,Lost,Pune,515.32,Paid,TRK720469,,
